"time","slipAngleFrontWheel","slipAngleRearLeftWheel","slipAngleRearRightWheel","forceFrontWheel[1,2]","forceRearLeftWheel[1,2]","forceRearRightWheel[1,2]"
21.3,-0.01749619821648801,-0.01150733268037954,-0.01058777782681187,-315.474610355721,-314.9078335565324,-290.1605463556668
21.4,-0.01854936723781427,-0.01253817800896397,-0.01145864086784493,-333.5859917987872,-342.5365502484992,-313.6150186314029
21.5,-0.01959317859458484,-0.01356262031943868,-0.01231236000936788,-351.3844111720592,-369.8455378154514,-336.5130691680991
21.6,-0.02062617742206482,-0.01457880285101554,-0.01314774957182815,-368.8410839511764,-396.7765912672534,-358.8220074841324
21.7,-0.02164660658941534,-0.01558499092107622,-0.01396378485590232,-385.9234851052537,-423.2763409721405,-380.5146515439896
21.8,-0.02265288435431251,-0.01657941685973783,-0.0147594611774891,-402.6035858530158,-449.292329217474,-401.5655493607214
21.9,-0.02364321155631256,-0.01756028840384856,-0.01553379759751811,-418.8515027318326,-474.773484843926,-421.9511489696717
22,-0.0246157106643066,-0.01852548801792221,-0.01628557060148186,-434.6378102699102,-499.6624325111537,-441.6426779828225
22.1,-0.02556802255034134,-0.01947305957902873,-0.01701374208864344,-449.9273428171925,-523.9084099341929,-460.6174740551096
22.2,-0.02649837051672258,-0.02040128884262993,-0.01771753257873037,-464.6963910004968,-547.4691946928214,-478.8606723559387
22.3,-0.02740460526611567,-0.02130816914686674,-0.01839594234364943,-478.9173086192393,-570.2975139926734,-496.3526551562443
22.4,-0.02828395921772614,-0.02219128816151605,-0.0190476504795034,-492.5550966725252,-592.3386985034306,-513.0666507886872
22.5,-0.02913460092446577,-0.02304930384138771,-0.01967230409773576,-505.5915055566856,-613.5672470848291,-529.0014903104237
22.6,-0.02995366748956716,-0.02387973714788555,-0.02026858989363826,-517.9945374961013,-633.9318994591662,-544.1321866449864
22.7,-0.03073881057634956,-0.02468087032625176,-0.02083587690285899,-529.7424078181829,-653.4028685045088,-558.4519379081969
22.8,-0.03148767347891693,-0.0254511382787254,-0.02137367967979251,-540.8149403190829,-671.9559567059287,-571.9578575171291
22.9,-0.03219781431780552,-0.02618860521189346,-0.02188121244990719,-551.1924947828954,-689.5600729730654,-584.6398739942809
23,-0.03286695304933066,-0.02689182288625877,-0.02235810915160296,-560.8593526211122,-706.1976764217262,-596.4986628616958
23.1,-0.03349245551179175,-0.02755888199583138,-0.02280361752236054,-569.7958735376055,-721.8417490055942,-607.5252763180144
23.2,-0.03407195176065523,-0.02818844823152974,-0.02321746553597923,-577.987331872371,-736.4802450421728,-617.7227189884186
23.3,-0.03460346491680641,-0.0287793794769695,-0.02359953205599142,-585.4249150235914,-750.1062450401053,-627.0973470037443
23.4,-0.03508496782079462,-0.02933057224000579,-0.02394971674552797,-592.0992787273242,-762.7141747466453,-635.6556520780009
